rts,rmeand,rmaxd,rmind,rsd
2920.000000,973.333333,1070.000000,911.000000,69.302878
3249.000000,1083.000000,1173.000000,977.000000,80.812540
1607.000000,535.666667,631.000000,487.000000,67.415791
3923.000000,1307.666667,1912.000000,556.000000,563.302366
3039.000000,1013.000000,1657.000000,93.000000,667.660592

ts,meand,maxd,mind,sd
1698.000000,566.000000,566.000000,566.000000,0.000000



2129.000000,709.666667,1797.000000,113.000000,770.077630
425.000000,141.666667,188.000000,87.000000,41.651997
869.000000,289.666667,454.000000,35.000000,182.593051
1088.000000,362.666667,650.000000,72.000000,235.979283
